T?NG H?P CÁC S?N PH?M C?A PAULA'S CHOICE SKINCARE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STT,Mã S?n Ph?m ,Tên Ti?ng Anh,Tên Ti?ng Vi?t ,Tên nhãn hàng,Dung tích,giá bán l? niêm y?t,Th?i h?n s? d?ng,Công d?ng,H??ng d?n s? d?ng,Hình ?nh,Xu?t x?,LINK TRANG WEB PC VN,SÔ CÔNG B?,Note,,,,,,,,,,,,,,,,,,
11,1710,Hydralight Moisture Infusing Lotion,PAULA'S CHOICE Kem d??ng ?m cho m?i lo?i da,PAULA'S CHOICE,60ml,"850,000",36 tháng,"CÔNG D?NG

– Công th?c nh? nh? n??c b? sung và ph?c h?i ?? ?m b? m?t mà không làm t?c các l? chân lông giúp da tr? nên kh?e m?nh h?n.
– Cung c?p ch?t ch?ng oxy hoá làm d?u và giúp làn da tr? trung h?n
– Các thành ph?n có trong màng axít c?a da (Skin Identical Ingredient) và tác nhân d??ng ?m mang ??n cho làn da v? kh?e m?nh
– Không gây kích ?ng, ??c bi?t d?u nh?

S?? pha trô?n ?ô?c ?a?o cu?a ca?c châ?t chô?ng oxy ho?a, HYDRALIGHT Moisture Infusing Lotion nô?i bâ?t la? sa?n phâ?m mang t??i s?? cân b??ng nhe? nha?ng cho la?n da nha?y ca?m. Ba?n se? không co?n pha?i lo l??ng vê? ti?nh tra?ng bi?t t??c, mâ?t n???c ho??c mâ?n ?o? ma? thay va?o ?o? la? la?n da se? ????c hô?i phu?c t?? sâu bên trong, tra? la?i ve? ra?ng r??, t??i tre? ma? râ?t i?t loa?i kem d???ng thông th???ng co? thê? la?m ????c.

Lo?i da phù h?p: Da th??ng ??n da d?u, da h?n h?p","H??NG D?N S? D?NG

D??ng ?êm Hydralight ???c s? d?ng nh? b??c cu?i cùng trong quy trình ch?m sóc da ban ?êm. Vào ban này, hãy k?t h?p v?i kem ch?ng n?ng ph? r?ng có ch? s? SFP t?i thi?u 30 tr? lên.","https://drive.google.com/drive/folders/1L0iLgdohPqS2bZ5NrrFm7oBMT2hZDoG7
https://drive.google.com/drive/folders/1aKIfuoARHLvT-2kBWW13rBH82z5NsGTp",Xu?t x? : M?,https://paulaschoice.vn/hydralight-moisture-infusing-lotion,https://imgur.com/a/8fPq6Q5,,,,,,,,,,,,,,,,,,,
12,1720,Hydratlight Shine Free Daily Mineral  Conplex SPF 30,PAULA'S CHOICE Kem ch?ng n?ng ph? r?ng d??ng ?m SPF 30,PAULA'S CHOICE,60ml,"850,000",36 tháng,"CÔNG D?NG:
- Ch?ng n?ng hi?u qu? v?i ch? s? SPF 30
- T?ng c??ng d??ng ch?t cho t? bào c?i thi?n tình tr?ng da m?n ??
- B? sung thành ph?n d??ng ?m giúp da luôn m?m m?n

Hydralight Shine – Free Mineral Complex SPF30 là s?n ph?m ?a tác d?ng giúp t?ng c??ng d??ng ch?t cho t? bào, ch?ng n?ng hi?u qu? v?i ch? s? SPF 30, ??c bi?t phù h?p v?i da d?u, h?n h?p.

PHÙ H?P CHO LO?I DA: Da d?u, da h?n h?p ","H??NG D?N S? D?NG:

S? d?ng nh? b??c cu?i cùng trong quy trình
ch?m sóc da bu?i sáng. Dùng m?t l??ng ??
nhi?u 15 phút tr??c khi ra ngoài, thoa l?i sau
m?i 2 ti?ng ti?p xúc tr?c ti?p v?i ánh n?ng m?t
tr?i.","https://drive.google.com/drive/folders/1yqfRcnjXsdRx88Me-PGi_PYS_v97WCdK
https://drive.google.com/drive/folders/12gi5ZMUpjTI8LA9mlORTC4-CjYFJAG-X",Xu?t x? : M?,https://paulaschoice.vn/hydralight-shine-free-mineral-complex-spf-30,https://imgur.com/a/mMeNSLK,,,,,,,,,,,,,,,,,,,
13,1860,Skin Recovery Replenishing Moisturizer,PAULA'S CHOICE Kem d??ng ?m ban ?êm d?u nh?,PAULA'S CHOICE,60 ml,"850,000",36 tháng,"CÔNG D?NG

- S? pha tr?n ??c quy?n c?a các thành ph?n d??ng ?m ???c ch?ng minh s? c?p ?m ngay t?c kh?c cho vùng da khô
- Làm m? s? xu?t hi?n c?a n?p nh?n và c?i thi?n rõ r?t k?t c?u c?a da
– Duy trì ?? ?m cho làn da
– Ch?t ch?ng oxi hóa và tinh d?u th?c v?t giúp tái t?o làn da r?ng r?

Kem d??ng ?êm Skin Recovery Replenishing Moisturizer c?p n??c cho vùng da khô và c?i thi?n nh?ng n?p nh?n nh?. Công th??c co? s?? go?p m??t cu?a chu?i axit amin ch?ng lão hóa cu?ng ca?c ch?t oxi hóa, nó ho?t ??ng ?? ??y lùi các g?c t? do và giúp da ch?ng l?i các tác h?i t? môi tr??ng. S?n ph?m có th?  s?? du?ng ngay c? ?? vùng quanh m?t.

Lo?i da phù h?p: Da khô, da r?t khô","H??NG D?N S? D?NG

M?t s?n ph?m lý t??ng cho vi?c làm m?m và m?n da m?t, c? và vùng quanh m?t. Sau b??c làm s?ch, cân b?ng và lo?i b? t? bào ch?t cho da vào ban ?êm, b?n có th? s? d?ng s?n ph?m này vào ban ngày tuy nhiên c?n b? sung s?n ph?m ch?ng n?ng có ch?a SPF 30 tr? lên ?? b?o v? da toàn di?n nh?t. 
","https://drive.google.com/drive/folders/1f-v9JgJjy9BUHLtYMt_JiFdSf88QvPjd
https://drive.google.com/drive/folders/1QNBNFt5JIkVyzFIGi7YLKmKNaTXSY2QS",Xu?t x? : M?,https://paulaschoice.vn/skin-recovery-replenishing-moisturizer,https://imgur.com/a/3yZXvDC,,,,,,,,,,,,,,,,,,,
14,1900,(Skin Perfecting 8% AHA Gel Exfoliant,PAULA'S CHOICE Gel d??ng ?m cao c?p 8% AHA,PAULA'S CHOICE,100ml,"910,000",36 tháng,"CÔNG D?NG: 
S?n ph?m lo?i b? t? bào ch?t AHA gel ??c ?áo v?i glycolic acid giúp lo?i b? các l?p t? bào già c?i trên da mà giúp da m?m m?n, kh?e kho?n h?n.

C?i thi?n tông màu da t??i m?i
Chú tr?ng làm ??y n?p nh?n sâu
K?t c?u gel siêu nh? thích nghi t?t ngay v?i làn da
S? d?ng ??u ??n 2 l?n m?i ngày sau b??c làm s?ch và cân b?ng da
Skin Perfecting 8% AHA Gel là m?t s?n ph?m lo?i b? t? bào ch?t hoàn ch?nh không chà xát làm t?n th??ng mà lo?i b? t? bào da ch?t tích t? m?t cách nh? d?u t? nhiên, mang ??n làn da tr? kh?e h?n. Công th?c ??c ?áo này tái t?o b? m?t da c?a b?n, t?o ra s? r?ng r? và thu hút m?i ánh nhìn. ??ng th?i s?n ph?m làm m? s? xu?t hi?n c?a các n?p nh?n và làm cho làn da c?a b?n c?m th?y m?m m?i h?n r?t nhi?u. V?i vi?c s? d?ng s?n ph?m liên t?c trong quy trình ch?m sóc, nó có th? giúp thúc ??y làn da s?n ch?c h?n.","H??NG D?N S? D?NG
Thoa tr?c ti?p trên da v?i l??ng v?a ?? t? m?t ho?c hai l?n m?i ngày sau khi làm s?ch và cân b?ng da. Tránh ti?p xúc tr?c ti?p v?i m?t và môi. Không r?a s?ch. ??i v?i ban ngày, luôn luôn b?o v? da v?i kem ch?ng n?ng ph? r?ng ch? s? SPF 30 ho?c cao h?n.

L?i khuyên b?o v? da kh?i ánh n?ng m?t tr?i khi s? d?ng lo?i b? t? bào ch?t AHA: S?n ph?m lo?i b? t? bào ch?t AHA gel ch?a t?i 8% glycolic acid, m?t thành ph?n có th? làm t?ng s? nh?y c?m c?a da v?i ánh n?ng m?t tr?i và có kh? n?ng cháy n?ng n?u ch?m sóc không c?n th?n. B?n c?n nh? luôn luôn s? d?ng kem ch?ng n?ng toàn di?n có ch? s? SPF30 ho?c cao h?n m?i ngày. Khi ra ngoài, b?n có th? k?t h?p các ph??ng pháp b?o v? khác nh? áo ch?ng n?ng, ? trong râm khi có th? ho?c tránh ti?p xúc v?i ánh n?ng nhi?u gi? li?n.",https://drive.google.com/drive/folders/1EDGZA7_Bv0SrJpFa7nMhfrHr_Sza8Kio,Xu?t x? : M?,https://paulaschoice.vn/skin-perfecting-8-aha-gel-exfoliant,https://imgur.com/a/F0XCXXr,,,,,,,,,,,,,,,,,,,
15,1907,(Skin Perfecting 8% AHA Gel Exfoliant -Trial Size,PAULA'S CHOICE Gel d??ng ?m cao c?p 8% AHA,PAULA'S CHOICE,15ml,"339,000",37 tháng,"CÔNG D?NG: 
S?n ph?m lo?i b? t? bào ch?t AHA gel ??c ?áo v?i glycolic acid giúp lo?i b? các l?p t? bào già c?i trên da mà giúp da m?m m?n, kh?e kho?n h?n.

C?i thi?n tông màu da t??i m?i
Chú tr?ng làm ??y n?p nh?n sâu
K?t c?u gel siêu nh? thích nghi t?t ngay v?i làn da
S? d?ng ??u ??n 2 l?n m?i ngày sau b??c làm s?ch và cân b?ng da
Skin Perfecting 8% AHA Gel là m?t s?n ph?m lo?i b? t? bào ch?t hoàn ch?nh không chà xát làm t?n th??ng mà lo?i b? t? bào da ch?t tích t? m?t cách nh? d?u t? nhiên, mang ??n làn da tr? kh?e h?n. Công th?c ??c ?áo này tái t?o b? m?t da c?a b?n, t?o ra s? r?ng r? và thu hút m?i ánh nhìn. ??ng th?i s?n ph?m làm m? s? xu?t hi?n c?a các n?p nh?n và làm cho làn da c?a b?n c?m th?y m?m m?i h?n r?t nhi?u. V?i vi?c s? d?ng s?n ph?m liên t?c trong quy trình ch?m sóc, nó có th? giúp thúc ??y làn da s?n ch?c h?n.","H??NG D?N S? D?NG
Thoa tr?c ti?p trên da v?i l??ng v?a ?? t? m?t ho?c hai l?n m?i ngày sau khi làm s?ch và cân b?ng da. Tránh ti?p xúc tr?c ti?p v?i m?t và môi. Không r?a s?ch. ??i v?i ban ngày, luôn luôn b?o v? da v?i kem ch?ng n?ng ph? r?ng ch? s? SPF 30 ho?c cao h?n.

L?i khuyên b?o v? da kh?i ánh n?ng m?t tr?i khi s? d?ng lo?i b? t? bào ch?t AHA: S?n ph?m lo?i b? t? bào ch?t AHA gel ch?a t?i 8% glycolic acid, m?t thành ph?n có th? làm t?ng s? nh?y c?m c?a da v?i ánh n?ng m?t tr?i và có kh? n?ng cháy n?ng n?u ch?m sóc không c?n th?n. B?n c?n nh? luôn luôn s? d?ng kem ch?ng n?ng toàn di?n có ch? s? SPF30 ho?c cao h?n m?i ngày. Khi ra ngoài, b?n có th? k?t h?p các ph??ng pháp b?o v? khác nh? áo ch?ng n?ng, ? trong râm khi có th? ho?c tránh ti?p xúc v?i ánh n?ng nhi?u gi? li?n.",https://drive.google.com/drive/folders/1ZY4B4ue-UkOk9PljcT-iGvgEejxRz7uZ,Xu?t x? : M?,https://paulaschoice.vn/qua-tang-skin-perfecting-8-aha-gel-exfoliant-don-hang-tren-1990k,https://imgur.com/a/F0XCXXr,,,,,,,,,,,,,,,,,,,
16,2010,Skin Perfecting 2% BHA Liquid Exfoliant,PAULA'S CHOICE Skin Perfecting 2% BHA Liquid Exfoliant 118ML,PAULA'S CHOICE,118 ml,"910,000",24 tháng,"CÔNG D?NG: 
– Làm gi?m d?u hi?u lão hóa, m?n ??u ?en, l? chân lông to.
– Gi?m s?ng ??, c?i thi?n n?p nh?n sâu.
- Lo?i b? t? bào ch?t, các t?p ch?t b?i b?n tích t? sâu trong l? chân lông d?u nh? 

Skin Perfecting 2% BHA Liquid Exfoliant là s?n ph?m lo?i b? t? bào ch?t hóa h?c d?u nh?, hoàn toàn không có ch?t bào mòn, d? dàng th?m th?u qua các t?ng bi?u bì. ?ây là s?n ph?m bán ch?y s? 1 c?a Paula’s Choice trên toàn th? gi?i, b?i kh? n?ng lo?i b? t? bào ch?t trên da, thêm vào ?ó cung c?p ?m, mang ??n cho b?n làn da m?n màng và r?ng r? h?n b?t k? s?n ph?m cùng lo?i nào khác trên th? tr??ng. B?n s? c?m nh?n th?y s? khác bi?t ngay t? l?n ??u s? d?ng. S?n ph?m này có ?? PH t?i ?u t? 3,2 – 3,8 k?t h?p cùng thành ph?n làm m?m ?? ?em l?i hi?u qu? cao nh?t.

PHÙ H?P V?I LO?I DA: M?i lo?i da","H??NG D?N S? D?NG

Dùng t? 1 ??n 2 l?n m?i ngày sau b??c r?a m?t và toner. Nh? nhàng ?? ra t?m bông t?y trang r?i thoa ??u lên toàn b? khuôn m?t ho?c v? tr?c ti?p s?n ph?m lên da, không c?n r?a l?i b?ng n??c. 
*L?u ý: vào ban ngày, s? d?ng kem ch?ng n?ng có ch? s? ch?ng n?ng có SPF t? 25 ??n 30 sau khi s? d?ng Skin Perfecting 2% BHA Liquid.","https://drive.google.com/drive/folders/1oxAmJapTRQ-CHdTRqDM0aua9Awhb5uC3
https://drive.google.com/drive/folders/12bbWFc12HS87jLqLqr2GP06GUpaGriof",Xu?t x? : M?,https://paulaschoice.vn/skin-perfecting-2-bha-liquid-exfoliant,https://imgur.com/a/SZWaU2H,,,,,,,,,,,,,,,,,,,
17,2016,Skin Perfecting 2% BHA Liquid Exfoliant -Trial size,PAULA'S CHOICE Skin Perfecting 2% BHA Liquid,PAULA'S CHOICE,30ml,"339,000",24 tháng,"CÔNG D?NG: 
– Làm gi?m d?u hi?u lão hóa, m?n ??u ?en, l? chân lông to.
– Gi?m s?ng ??, c?i thi?n n?p nh?n sâu.
- Lo?i b? t? bào ch?t, các t?p ch?t b?i b?n tích t? sâu trong l? chân lông d?u nh? 

Skin Perfecting 2% BHA Liquid Exfoliant là s?n ph?m lo?i b? t? bào ch?t hóa h?c d?u nh?, hoàn toàn không có ch?t bào mòn, d? dàng th?m th?u qua các t?ng bi?u bì. ?ây là s?n ph?m bán ch?y s? 1 c?a Paula’s Choice trên toàn th? gi?i, b?i kh? n?ng lo?i b? t? bào ch?t trên da, thêm vào ?ó cung c?p ?m, mang ??n cho b?n làn da m?n màng và r?ng r? h?n b?t k? s?n ph?m cùng lo?i nào khác trên th? tr??ng. B?n s? c?m nh?n th?y s? khác bi?t ngay t? l?n ??u s? d?ng. S?n ph?m này có ?? PH t?i ?u t? 3,2 – 3,8 k?t h?p cùng thành ph?n làm m?m ?? ?em l?i hi?u qu? cao nh?t.

PHÙ H?P V?I LO?I DA: M?i lo?i da","H??NG D?N S? D?NG

Dùng t? 1 ??n 2 l?n m?i ngày sau b??c r?a m?t và toner. Nh? nhàng ?? ra t?m bông t?y trang r?i thoa ??u lên toàn b? khuôn m?t ho?c v? tr?c ti?p s?n ph?m lên da, không c?n r?a l?i b?ng n??c. 
*L?u ý: vào ban ngày, s? d?ng kem ch?ng n?ng có ch? s? ch?ng n?ng có SPF t? 25 ??n 30 sau khi s? d?ng Skin Perfecting 2% BHA Liquid.","https://drive.google.com/drive/folders/15R21GyEphUT9GKLV-utSfAy3RZ56Krpt
https://drive.google.com/drive/folders/1j082f5ZF_kpEq_LBZaHP8Kd6n2WNph5d",Xu?t x? : M?,https://paulaschoice.vn/skin-perfecting-2-bha-liquid-exfoliant,https://imgur.com/a/SZWaU2H,,,,,,,,,,,,,,,,,,,
18,2040,Skin Perfecting 2% BHA Gel Exfoliant,PAULA'S CHOICE Kem lo?i b? t? bào ch?t 2% BHA 118ML,PAULA'S CHOICE,100ml,"910,000",24 tháng,"CÔNG D?NG: 

– Nh? nhàng làm m?n và tái sinh làn da r?ng r?.
– ??nh hình và làm s?ch sâu l? chân lông ??ng th?i lo?i b? s? xu?t hi?n c?a n?p nh?n.
– C?u trúc gel nh? b? sung thành ph?n hydrat giúp b?n có ???c b? m?t da hoàn h?o.

SKIN PERFECTING 2% BHA Gel Exfoliant v?i c?u trúc siêu nh? giúp làm m?m và b? sung ?? ?m t? nhiên cho da, ngoài ra còn nh? nhàng lo?i b? t? bào ch?t. Làn da c?a b?n s? tr? nên r?ng r? h?n, m?m m?i h?n, c?i thi?n tình tr?ng l? chân lông to và nh?ng v?t chân chim.

S?n ph?m t?y da ch?t có ch?a t?i ?u n?ng ?? pH 3.2 – 3.8 và trong công th?c ???c b? sung thêm nh?ng thành ph?n làm m?n da. ??c bi?t, s?n ph?m không ch?a ch?t t?o mùi, ???c ki?m nghi?m lâm sang không gây kích ?ng cho da giúp nâng cao tính an toàn khi s? d?ng. 

PHÙ H?P V?I LO?I DA: Da th??ng, da d?u, da h?n h?p","H??NG D?N S? D?NG

Dùng t? 1 ??n 2 l?n m?i ngày sau khi r?a m?t b?ng s?a r?a m?t và Toner. Nh? nhàng thoa ??u lên toàn b? khuôn m?t,  không c?n r?a l?i b?ng n??c. Vào ban ngày, s? d?ng kem ch?ng n?ng có ch? s? ch?ng n?ng có SPF t? 30 tr? lên ?? b?o v? da t?t nh?t.","https://drive.google.com/drive/folders/11aWQWXQVlgNa9MaDITZt3yVnXDuxjwIh
https://drive.google.com/drive/folders/13QvJLmCO7-ECwvvpaVYsP5uALnvybOTu",Xu?t x? : M?,https://paulaschoice.vn/skin-perfecting-2-bha-gel-exfoliant,https://imgur.com/a/zL0BSf9,,,,,,,,,,,,,,,,,,,
19,2060,Skin Perfecting 8% AHA Lotion Exfoliant,PAULA'S CHOICE Lotion lo?i b? t? bào ch?t 8% AHA,PAULA'S CHOICE,100ml,"910,000",24 tháng,"CÔNG D?NG

- S?n ph?m lo?i b? t? bào ch?t hóa h?c d?u nh? 
- S? k?t h?p hoàn h?o trong công th?c c?a các thành ph?n b? sung ?? ?m, 8% Glycolic Acid, cùng các thành ph?n làm d?u làn da
- D?u th?c v?t s? giúp nuôi d??ng ?? da tr? nên m?n màng, ??y lùi các d?u hi?u lão hóa và ?em l?i s? m?m m?i, c?ng m?n ?áng ng?c nhiên 

S?n ph?m lo?i b? t? bào ch?t SKIN PERFECTING 8% AHA Lotion ???c nghiên c?u và xây d?ng d?a trên công th?c c?i ti?n h?n, giúp da t??i tr?, m?n màng và h? tr? trong vi?c tr? hóa làn da. Nh? ch?a công th?c d??ng ?m chuyên sâu có tác d?ng cân b?ng ?? ?m da, s?n ph?m s? giúp làm sáng làn da x?n màu hay làm ??ng ??u màu da.

Lo?i da phù h?p: M?i lo?i da","H??NG D?N S? D?NG 

??u ??n s? d?ng m?i ngày m?t ??n hai l?n sau b??c làm s?ch da và toner. L?y m?t l??ng v?a ?? cho toàn b? khuôn m?t, tránh ti?p xúc tr?c ti?p v?i m?t và quanh môi. S?n ph?m lo?i b? t? bào ch?t SKIN PERFECTING 8% AHA Lotion không c?n r?a l?i v?i n??c hay b?t k? dung d?ch nào. 

Vào ban ngày dùng tr??c b??c thoa kem ch?ng n?ng có ch? s? SPF 30 ho?c cao h?n.","https://drive.google.com/drive/folders/1NPe8pT1n2ViFwNWGPXXAv_b_puBgo_gU
https://drive.google.com/drive/folders/1sNUIEib5Ijj3v3E2Fju1J3cshbuLuWY6",Xu?t x? : M?,https://paulaschoice.vn/skin-perfecting-8-aha-lotion,https://imgur.com/a/oUnk9ky,,,,,,,,,,,,,,,,,,,
20,2120,Clinical Ceramide – Enriched Firming Moisturizer,PAULA'S CHOICE Kem d??ng ch?a Ceramide siêu m?m m??t ,PAULA'S CHOICE,50ml,"1,720,000",24 tháng,"CÔNG D?NG 
'- Clinical Ceramide-Enriched Firming Moisturizer là s?n ph?m ??u tiên trên th? tr??ng hi?n nay có ch?a c? 3 siêu thành ph?n ??nh cao: 5 lo?i Ceramide thi?t yêu d??ng ?m t?i ?u, Vitamin C ch?ng oxy hóa da, Retinol ph?c h?i da.

?i?m khác bi?t c?a s?n ph?m
- S? khác bi?t n?m ? s? k?t h?p ??c ?áo cùng 1 lúc c? Ceramide, retinol và Vitamin C. ?ây ??u là nh?ng thành ph?n thi?t y?u và không th? thi?u c?a làn da. Có th? th?y, ph?c h?p này t?o nên m?t dòng s?n ph?m hoàn h?o, t?ng c??ng Collagen t?i ?u. Là tác nhân ho?t ??ng nh? liên k?t bên ngoài ?? b? m?t da duy trì l??ng ?m v?a ?? và ?àn h?i t?t h?n.","H??NG D?N S? D?NG 
?? có k?t qu? t?t nh?t, không áp d?ng cùng lúc v?i nhi?u s?n ph?m có thành ph?n vitamin C l??ng l?n ho?c retinol khác. Lí do là ch?t d??ng ?m ch?ng lão hóa này ch?a h?n h?p ch?ng lão hóa m?nh, t?p trung cao ?? nh? m?t s? d?ng vitamin C và Retinol. Vào ban ngày s? d?ng thêm kem ch?ng n?ng SPF 30 tr? lên.",https://drive.google.com/drive/folders/1DHhPrV_s7Y1qLCLQh5QMr_3VAZKDKX-L,Xu?t x? : M?,https://paulaschoice.vn/clinical-ceramide-enriched-firming-moisturizer,https://imgur.com/a/zUtpES9,,,,,,,,,,,,,,,,,,,
21,2130,Omega + Complex Serum ,PAULA'S CHOICE Serum giúp tr? hóa da và ch?ng nh?n da ch?a omega 30ml,PAULA'S CHOICE,30ml,"1,290,000",36 tháng,"CÔNG D?NG: 
- Ch?ng lão hóa da, t?ng c??ng thành ph?n tái t?o t? bào giúp da tr? trung 
- Ph?c h?p phong phú omega giúp c?ng c? và b?o v? da tránh kh?i nh?ng ?nh h??ng x?u t? môi tr??ng.
- B? sung thành ph?n d??ng ?m giúp da m?m m?n

Resist Omega+ Complex s? h?u siêu th?c ph?m dành cho da c?a b?n! Axit béo omega giúp tr? hóa và tái t?o b? m?t da cùng v?i các d??ng ch?t thi?t y?u c?n thi?t s? mang ??n cho b?n làn da kh?e m?nh, ?m m?ng và r?ng r? rõ r?t. 

PHÙ H?P V?I LO?I DA: M?i lo?i da ","H??NG D?N S? D?NG

S? d?ng t? 1 – 2 gi?t thoa lên toàn b? khuôn m?t và c? sau khi ?ã làm s?ch da v?i s?a r?a m?t, toner và s?n ph?m lo?i b? t? bào ch?t. Vào ban ngày s? d?ng cùng kem ch?ng n?ng có ch? s? SPF 30 tr? lên.

 
","https://drive.google.com/drive/folders/1UydQ2sue6BFr2_QjJz2JKj1gUQ_Zu1XH
https://drive.google.com/drive/folders/1Z_Od4-8K7nHDpXwWz92dq6arEOnUelIy",Xu?t x? : M?,https://paulaschoice.vn/resist-omega-complex,https://imgur.com/a/b1xKR9Z,,,,,,,,,,,,,,,,,,,
22,2140,Resist Anti-Aging Eye Gel,"PAULA'S CHOICE Kem m?t ch?ng lão hóa, gi?m thâm kèm ??u Massage",PAULA'S CHOICE,15ml,"1,190,000",24 tháng,"CÔNG D?NG 
'- RESIST Anti-Aging Eye Gel v??i công th??c hoa?n ha?o ????c ta?o ra t?? ca?c tha?nh phâ?n anti-arging ly? t???ng, hô? tr?? massage vu?ng da m??t mo?ng manh, mang t??i s?? th? gia?n, dê? chi?u nhâ?t.
- N?u ?ang tìm ki?m kem d??ng m?t thì RESIST Anti-Aging Eye Gel chính là s?n ph?m t?i ?u nh?t dành cho b?n. S? k?t h?p c?a các thành ph?n tinh túy c?ng thêm thi?t k? ??c bi?t, s?n ph?m này ?ã chi?m ???c c?m tình c?a không ít cô nàng.","H??NG D?N S? D?NG 
Bóp nh? s?n ph?m ?? dung d?ch ??y lên ph?n
??u kim lo?i, nh? nhàng massage vùng nhanh
m?t ?? t?ng tính th?m th?u.
Có th? s? d?ng kho?ng 2 l?n/ngày.",https://drive.google.com/drive/folders/1M4Z4lNanMPieKN_--95Zpt6t9W3Gz5xW,Xu?t x? : M?,https://paulaschoice.vn/resist-anti-aging-eye-gel,https://imgur.com/a/hkjUYiB,,,,,,,,,,,,,,,,,,,
23,2149,Resist Anti-Aging Eye Gel - Trial,PAULA'S CHOICE Serum giúp tr? hóa da và ch?ng nh?n da ch?a omega,PAULA'S CHOICE,5ml,"359,000",24 tháng,"CÔNG D?NG 
'- RESIST Anti-Aging Eye Gel v??i công th??c hoa?n ha?o ????c ta?o ra t?? ca?c tha?nh phâ?n anti-arging ly? t???ng, hô? tr?? massage vu?ng da m??t mo?ng manh, mang t??i s?? th? gia?n, dê? chi?u nhâ?t.
- N?u ?ang tìm ki?m kem d??ng m?t thì RESIST Anti-Aging Eye Gel chính là s?n ph?m t?i ?u nh?t dành cho b?n. S? k?t h?p c?a các thành ph?n tinh túy c?ng thêm thi?t k? ??c bi?t, s?n ph?m này ?ã chi?m ???c c?m tình c?a không ít cô nàng.","H??NG D?N S? D?NG 
Bóp nh? s?n ph?m ?? dung d?ch ??y lên ph?n
??u kim lo?i, nh? nhàng massage vùng nhanh
m?t ?? t?ng tính th?m th?u.
Có th? s? d?ng kho?ng 2 l?n/ngày.",https://drive.google.com/drive/folders/1J4uKQjJ6TtamNOIPntcq3PvfSLgEJtZN,Xu?t x? : M?,https://paulaschoice.vn/resist-anti-aging-eye-gel,https://imgur.com/a/hkjUYiB,,,,,,,,,,,,,,,,,,,
24,2160,Clinical  Ceramide - Enriched Firming Eye Cream,"PAULA'S CHOICE  Kem m?t giúp gi?m thâm, gi?m b?ng m?t ch??a Ceramide",PAULA'S CHOICE,15ml,"1,599,000",24 tháng,"CÔNG D?NG
'- Kem d??ng ?m cho m?t Clinical Ceramide – Enriched Firming Eye Cream làm m?n rõ r?t d??i n?p nh?n m?t v?i s? t?p trung c?a 5 lo?i ceramide b? sung, 4 d?ng vitamin C làm sáng, 2 peptide và retinol ?ã ???c ch?ng minh:
– Vitamin C c?i thi?n rõ r?t vùng da không ??u màu và làm sáng vùng m?t
– Retinol nhanh chóng làm gi?m các n?p nh?n sâu
– Kem d??ng da tác ??ng gi?i quy?t v?n ?? da quanh m?t
– S? d?ng 2 l?n m?i ngày ??u ??n
– Phù h?p v?i m?i lo?i da","H??NG D?N S? D?NG  
Sau các b??c làm s?ch và d??ng da, l?y m?t l??ng nh? ch?m ??u kh?p vùng m?t và v? nh?. K?t h?p v?i kem ch?ng n?ng ph? r?ng v?i ch? s? SPF t? 30 tr? lên khi s? d?ng vào ban ngày. Có th? apply v?i k?t c?u mix cùng v?i nh?ng lo?i kem m?t khác tin c?y ?? ??t hi?u qu? cao nh?t",https://drive.google.com/drive/folders/1nfvHxXs5aFeH56YMwbyDegAHpLiRZ4Qq,Xu?t x? : M?,https://paulaschoice.vn/kem-duong-mat-chua-ceramide-clinical-ceramide-enriched-firming-eye-cream,,,,,,,,,,,,,,,,,,,,
25,2200,Defense Antioxidant Pore Purifier - Fullsize,PAULA'S CHOICE Tinh ch?t tái t?o da d?u nh? dành cho da nh?y c?m ,PAULA'S CHOICE,30ml," 980,000 ",24 tháng,"CÔNG D?NG 
'- ?iê?m ???c biê?t cu?a DEFENSE Antioxidant Pore Purifier n??m ?? ca?ch chu?ng kiê?m soa?t ca?c châ?t gây ô nhiê?m, ????c vi? nh? “tâ?m lo?c” ta?p châ?t trong không khi? ma? m??t th???ng không thê? nhi?n thâ?y ????c. 
- Bên ca?nh ?o?, v??i ca?c tha?nh phâ?n thông minh, sa?n phâ?m na?y nhanh cho?ng cung câ?p ?ô? â?m, duy tri? ne?t t??i tre?, ha?n chê? nh??ng tô?n ha?i t?? môi tr???ng mang t??i nh? tia UV trong a?nh n??ng m??t tr??i, ca?c b??c xa? ?iê?n t?? t?? thiê?t bi? di ?ô?ng…","H??NG D?N S? D?NG  
Ba?n co? thê? s?? du?ng DEFENSE Antioxidant Pore Purifier va?o ca? buô?i sa?ng va? tô?i sau b???c toner va? BHA/AHA. Du?ng ke?m thêm d???ng â?m DEFENSE Nightly Reconditioning Moisturizer ?ê? t?ng c???ng hiê?u qua? tô?t nhâ?t.",https://drive.google.com/drive/folders/1-0tb42DJHgrUqYpYRuWfX883oRTQ88Fz,Xu?t x? : M?,https://paulaschoice.vn/defense-antioxidant-pore-purifier,https://imgur.com/a/iWUvxEV,,,,,,,,,,,,,,,,,,,
